Sentiment,Canto
0.23086938856038655,1.0
0.15292556617225675,2.0
0.17430649173932594,3.0
0.23531477735297007,4.0
0.10428667411784155,5.0
0.11295581089683895,6.0
0.16717257138337363,7.0
0.25301453953107667,8.0
0.18372159650210215,9.0
0.15964442460397668,10.0
0.07098974105886255,11.0
0.196983365935548,12.0
0.13408588637769253,13.0
0.18872888667561344,14.0
0.06408942369746802,15.0
0.21291418433293013,16.0
0.24234727779901902,17.0
0.20262609143862512,18.0
0.30803086368009497,19.0
0.15379770765035747,20.0
0.1098516365491049,21.0
0.12565863174822056,22.0
0.22670090290398362,23.0
0.15054924734916392,24.0
0.16370314539708808,25.0
0.13065448632771742,26.0
0.2136459205896168,27.0
0.13189884616270067,28.0
0.17835797359716982,29.0
0.09152222751920068,30.0
0.15939799097941448,31.0
0.11292421652303215,32.0
0.1016821187311651,33.0
