Sentiment,Canto
0.3729189748583162,1.0
0.24189891430596835,2.0
0.008962656925698132,3.0
-0.01547652685026479,4.0
-0.0729979419610131,5.0
0.25205980995218924,6.0
0.29857250282410425,7.0
0.10237923167645722,8.0
0.09335664961555,9.0
0.11653324117071133,10.0
0.1371365943206978,11.0
0.2686076278833219,12.0
0.20827771383105315,13.0
-0.02677460657791122,14.0
-0.059485450015083235,15.0
0.18091686280354227,16.0
-0.00522244792136439,17.0
0.0556172745152691,18.0
0.2637751874556344,19.0
0.23432804154419645,20.0
0.0634127206280903,21.0
0.05156057135130258,22.0
-0.0910862432430344,23.0
0.032709249666329626,24.0
0.08066771748027284,25.0
0.10949540127712638,26.0
-0.2782316032218258,27.0
0.008002172506753075,28.0
0.17046467634797816,29.0
0.13633205169961274,30.0
0.3260844160195921,31.0
-0.11297384114899667,32.0
0.07075074068464413,33.0
0.16916591893489166,34.0
