Sentiment,Canto,FirstDerivative,SecondDerivative
0.08362076323080192,1.0,0.02325300565729635,-0.0030997169662812796
0.10687376888809827,2.0,0.02015328869101507,-0.10009788789196708
0.12702705757911334,3.0,-0.07994459920095201,0.12699744353034934
0.047082458378161336,4.0,0.04705284432939733,-0.023054184393297324
0.09413530270755867,5.0,0.02399865993610001,0.11572332680821801
0.11813396264365868,6.0,0.13972198674431802,-0.27047621018260654
0.2578559493879767,7.0,-0.13075422343828852,0.1769281265995189
0.12710172594968816,8.0,0.04617390316123038,0.006457141956010576
0.17327562911091854,9.0,0.052631045117240954,-0.22371128858714834
0.2259066742281595,10.0,-0.17108024346990738,0.337831392385966
0.054826430758252116,11.0,0.1667511489160586,-0.17095909772631213
0.22157757967431072,12.0,-0.00420794881025352,0.052888569009972436
0.2173696308640572,13.0,0.048680620199718916,-0.13205033697369267
0.2660502510637761,14.0,-0.08336971677397376,-0.036241755786705854
0.18268053428980235,15.0,-0.11961147256067961,0.27940170583485713
0.06306906172912274,16.0,0.15979023327417755,-0.1861703695711326
0.2228592950033003,17.0,-0.026380136296955042,0.07601704317298144
0.19647915870634525,18.0,0.0496369068760264,0.005822043199692373
0.24611606558237165,19.0,0.05545895007571877,-0.010452937967855569
0.3015750156580904,20.0,0.0450060121078632,-0.23454245608189417
0.3465810277659536,21.0,-0.18953644397403097,0.16495041193915577
0.15704458379192265,22.0,-0.024586032034875194,0.03311454914013667
0.13245855175704746,23.0,0.00852851710526148,-0.052210378304313895
0.14098706886230894,24.0,-0.043681861199052416,0.05325697552809153
0.09730520766325652,25.0,0.009575114329039111,0.03749488102757127
0.10688032199229563,26.0,0.047069995356610383,-0.07920538306786763
0.15395031734890602,27.0,-0.03213538771125725,-0.11232976961316098
0.12181492963764877,28.0,-0.14446515732441823,0.29041419220727915
-0.02265022768676945,29.0,0.1459490348828609,-0.0879984976736498
0.12329880719609145,30.0,0.0579505372092111,-0.14293318864177443
0.18124934440530255,31.0,-0.08498265143256332,0.16182812197065385
0.09626669297273922,32.0,0.07684547053809053,0.0
0.17311216351082975,33.0,0.07684547053809053,0.0
