Sentiment,Canto
0.1206595663723731,1.0
0.07826745237942158,2.0
0.002899906872826605,3.0
-0.005007497994471373,4.0
-0.023618803592490568,5.0
0.08155505463429141,6.0
0.09660443997294008,7.0
0.03312524846533047,8.0
0.030205952552748296,9.0
0.03770484018134869,10.0
0.0443711452623351,11.0
0.08690917354641714,12.0
0.06738916582464606,13.0
-0.00866304113570265,14.0
-0.019246777686794763,15.0
0.05853644273161265,16.0
-0.0016897458806796788,17.0
0.017995212574997657,18.0
0.08534561629716043,19.0
0.07581786336389114,20.0
0.02051746328109157,21.0
0.016682648512384313,22.0
-0.029471352634626975,23.0
0.010583220879561017,24.0
0.026100393028048046,25.0
0.035427716283105704,26.0
-0.09002305288592642,27.0
0.002589137935575927,28.0
0.05515459206056351,29.0
0.044110831976251715,30.0
0.10550603989153672,31.0
-0.03655318072682757,32.0
0.022891711784783168,33.0
0.0547343734156274,34.0
