Sentiment,Canto
0.18212309624362943,1.0
0.12063651131824527,2.0
0.13750301921307911,3.0
0.18562987544879148,4.0
0.08226734651018419,5.0
0.08910606186259899,6.0
0.13187537116634962,7.0
0.19959246923722482,8.0
0.1449301971579215,9.0
0.12593673456758,10.0
0.05600080428069337,11.0
0.15539184617059054,12.0
0.10577468473387275,13.0
0.14888023659743618,14.0
0.050557435756363706,15.0
0.16795899502613199,16.0
0.19117751761805263,17.0
0.15984315366649313,18.0
0.24299252049755724,19.0
0.12132450684396068,20.0
0.08665731000764484,21.0
0.09912677997905313,22.0
0.17883475421125694,23.0
0.11876193390275354,24.0
0.12913848774169776,25.0
0.10306779836210696,26.0
0.16853623081097333,27.0
0.10404942120696102,28.0
0.14069906189732792,29.0
0.07219801444811705,30.0
0.12574233350382844,31.0
0.08908113839735549,32.0
0.08021272292272029,33.0
