Sentiment,Canto
0.04369263579112568,1.0
0.055842550094455,2.0
0.0663728331096856,3.0
0.02460102762264765,4.0
0.04918658162610129,5.0
0.0617261073078862,6.0
0.13473216038566113,7.0
0.06641184803605786,8.0
0.0905381470069241,9.0
0.11803836342167756,10.0
0.028647326074217022,11.0
0.11577637077369625,12.0
0.11357767791691563,13.0
0.13901376013254593,14.0
0.09545229847785537,15.0
0.03295417833263128,16.0
0.11644607909605242,17.0
0.10266220960227888,18.0
0.12859796060644302,19.0
0.15757578397703897,20.0
0.18109184888082733,21.0
0.08205727306805868,22.0
0.06921083993656754,23.0
0.07366707039083964,24.0
0.05084288679924962,25.0
0.055845974153073144,26.0
0.08044048972966374,27.0
0.06364944720594064,28.0
-0.011834957140639313,29.0
0.06442478719585092,30.0
0.09470448829345421,31.0
0.050300253099396106,32.0
0.09045273469240904,33.0
